capture,stf_percent,ltf_percent,cfo_hz,rate_mbps,length,hard_service,hard_fc,hard_fcs,best_soft,soft_service,soft_fc,soft_fcs,evm_mean_percent,clip_percent
WAIM_007.C8,98.98077139996796,39.91542618370854,843.0,24,56,3,0xdad5,False,soft_q5_norm,3,0x1acb,False,104.22990902546772,3.37
WAIM_008.C8,93.83124475568462,35.63635901137324,-2135.0,12,56,2,0x9d5b,False,soft_q5_norm,4,0x23bf,False,89.13403453991343,5.295
WAIM_009.C8,99.9018720536369,66.85900546580581,1471.0,24,56,4,0x36a8,False,soft_q5_norm,4,0xe46f,False,78.72273816987341,3.305
WAIM_010.C8,99.95437592118982,43.21487271060538,27.0,24,56,2,0x5094,False,soft_q5_norm,1,0x0094,False,88.97549029415211,3.3725
WAIM_011.C8,99.93730922014406,63.626374578813916,-11777.0,6,583,3,0xb5a9,False,soft_q5_norm,3,0xb5a9,False,107.02148577500846,21.33
WAIM_012.C8,99.7836216843424,60.818279004081674,-10851.0,6,454,3,0xd70b,False,soft_q5_norm,3,0x4f0b,False,101.72721874660311,16.29
WAIM_013.C8,99.74902373206498,73.7847120575083,2320.0,6,46,4,0xba7d,False,soft_q5_norm,4,0xfa7d,False,99.79208871994774,5.915
WAIM_014.C8,99.87444984931865,44.59707024237783,300.0,24,56,3,0x13d3,False,soft_q5_norm,2,0x970f,False,65.6817093735438,3.9
WAIM_015.C8,99.91535258439053,48.72447895794209,-6686.0,6,121,3,0xacc5,False,soft_q5_norm,3,0x2cc5,False,98.76279513020756,15.92
WAIM_016.C8,80.35428867802311,66.05994440061703,-7909.0,6,56,0,0x0094,False,soft_q5_norm,0,0x0094,False,47.42146986282495,0.0575
WAIM_017.C8,99.80962324915826,69.26370789029703,-10824.0,24,56,2,0x8991,False,soft_q5_norm,0,0xbd6c,False,45.65696425397884,3.155
