/havoc/build/firmware/application/application.elf  :
section                                   size         addr
.external_app_afsk_rx                     3784   2914058240
.external_app_calculator                 10168   2914123776
.external_app_font_viewer                 1904   2914189312
.external_app_blespam                     9456   2914254848
.external_app_analogtv                    5884   2914320384
.external_app_nrf_rx                      2492   2914385920
.external_app_coasterp                    2480   2914451456
.external_app_lge                         6216   2914516992
.external_app_lcr                         7800   2914582528
.external_app_jammer                      9408   2914648064
.external_app_gpssim                      4148   2914713600
.external_app_spainter                    8256   2914779136
.external_app_keyfob                      3556   2914844672
.external_app_tetris                      6048   2914910208
.external_app_extsensors                  3004   2914975744
.external_app_foxhunt_rx                  3124   2915041280
.external_app_audio_test                  2740   2915106816
.external_app_wardrivemap                 4176   2915172352
.external_app_tpmsrx                      9796   2915237888
.external_app_tpmstx                      9736   2918907904
.external_app_protoview                   4608   2915303424
.external_app_adsbtx                      6720   2915368960
.external_app_sstvtx                      4672   2915500032
.external_app_random_password            10724   2915565568
.external_app_acars_rx                    4144   2915631104
.external_app_shoppingcart_lock           5768   2915696640
.external_app_cvs_spam                    5856   2915762176
.external_app_ookbrute                    4604   2915827712
.external_app_ook_editor                 10060   2915958784
.external_app_flippertx                   4484   2915893248
.external_app_remote                     13120   2916024320
.external_app_mcu_temperature             2496   2916089856
.external_app_fmradio                     9648   2916155392
.external_app_tuner                       5180   2916220928
.external_app_metronome                   4752   2916286464
.external_app_app_manager                 5416   2916352000
.external_app_hopper                      8872   2916417536
.external_app_antenna_length              5300   2916483072
.external_app_view_wav                    8068   2916548608
.external_app_sd_wipe                     1452   2916614144
.external_app_playlist_editor             8404   2916679680
.external_app_snake                       3148   2916745216
.external_app_stopwatch                   3888   2916810752
.external_app_wefax_rx                    4504   2916876288
.external_app_noaaapt_rx                  4100   2917335040
.external_app_vor_rx                      6500   2919825408
.external_app_vor_tx                      3488   2919890944
.external_app_breakout                    7196   2916941824
.external_app_doom                       17704   2917007360
.external_app_debug_pmem                 11084   2917072896
.external_app_scanner                    12848   2917138432
.external_app_level                       7792   2917203968
.external_app_gfxeq                       4940   2917269504
.external_app_waterfall_designer         10960   2918580224
.external_app_detector_rx                 6808   2917400576
.external_app_dinogame                   24452   2917466112
.external_app_spaceinv                    9668   2917531648
.external_app_blackjack                  10512   2917597184
.external_app_battleship                 13780   2917662720
.external_app_ert                         2688   2917728256
.external_app_epirb_rx                   15188   2917793792
.external_app_soundboard                  6404   2917859328
.external_app_game2048                    3468   2917924864
.external_app_bht_tx                      6948   2917990400
.external_app_morse_practice              7336   2918055936
.external_app_adult_toys_controller       8516   2918121472
.external_app_flex_rx                     5672   2918187008
.external_app_sstvrx                      6496   2918252544
.external_app_subcarrx                    9632   2918318080
.external_app_siggen                      4268   2918383616
.external_app_sdusb                       1480   2918449152
.external_app_morse_radio                11168   2918514688
.external_app_morseradiotx               13688   2918645760
.external_app_keeloqtx                    6392   2918711296
.external_app_rtty_rx                     2644   2918776832
.external_app_rtty_tx                     5004   2918842368
.external_app_pocsag_tx                   4972   2918973440
.external_app_time_sink                   5416   2919038976
.external_app_same_tx                     4056   2919104512
.external_app_kiss_tnc                    4060   2919170048
.external_app_mdc_tx                      4220   2919235584
.external_app_epirb_tx                   18460   2919301120
.external_app_fpv_detect                  7124   2919366656
.external_app_p25_tx                      4000   2919432192
.external_app_two_tone_pager              9724   2919497728
.external_app_two_tone_rx                 9572   2919563264
.external_app_flex_tx                    14520   2919628800
.external_app_hard_reset                  3944   2919694336
.external_app_secplustx                   6936   2919759872
.external_app_signal_hunter               8584   2919956480
.external_app_wifi_aim                    7140   2920087552
.external_app_tetra_rx                    6668   2920022016
startup                                   1072            0
constructors                                20         1072
.text                                   702478         1096
.ARM.exidx                                   8       703576
.textalign                                   0       703584
.stacks                                   5120    536870912
.data                                     2544    536876032
.bss                                     13148    536878576
.debug_info                           79909488            0
.debug_abbrev                          2071456            0
.debug_loc                             5349380            0
.debug_aranges                           89920            0
.debug_ranges                          1068952            0
.debug_line                            3961568            0
.debug_str                             5225393            0
.comment                                   121            0
.ARM.attributes                             42            0
.debug_frame                            328756            0
.stabstr                                   385            0
Total                                 99378135


